pathway,effector_vs_all_padj,effector_vs_all_NES,intermediate_vs_all_padj,intermediate_vs_all_NES,memory_vs_all_padj,memory_vs_all_NES
GSE30962_ACUTE_VS_CHRONIC_LCMV_SECONDARY_INF_CD8_TCELL_UP,0.018098606199292697,3.1641828011055932,0.03238930993218987,-2.7164463923974207,0.024804496578690126,-2.606265491074521
GSE30962_ACUTE_VS_CHRONIC_LCMV_PRIMARY_INF_CD8_TCELL_UP,0.018098606199292697,3.135929455793322,0.03238930993218987,-2.4890146488688174,0.024804496578690126,-3.0555065787615128
GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP,0.018098606199292697,2.7423301799827056,0.5250024597191704,-1.0210367591320266,0.024804496578690126,-3.0713383195620847
GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_IL2_CULTURE_DN,0.018098606199292697,2.680126359316983,0.027979899497487436,-2.497482732661164,0.024804496578690126,-2.54336028963792
GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_UP,0.018098606199292697,2.6716152919061007,0.3939055159819897,-1.0753023851381174,0.024804496578690126,-3.0336234444179655
GSE3720_UNSTIM_VS_LPS_STIM_VD1_GAMMADELTA_TCELL_DN,0.018098606199292697,2.639296674609158,0.6711668273866924,-0.9749345025656784,0.024804496578690126,-2.96293635410205
GSE3720_LPS_VS_PMA_STIM_VD2_GAMMADELTA_TCELL_UP,0.018098606199292697,2.6327021645408277,0.030116460203249016,-1.8278920635542353,0.024804496578690126,-2.6252603448107648
GSE8678_IL7R_LOW_VS_HIGH_EFF_CD8_TCELL_UP,0.018098606199292697,2.617688885549546,0.007189679445367586,1.8287681267257359,0.024804496578690126,-3.4867507596164247
GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_DN,0.018098606199292697,2.6077505277306923,0.03238930993218987,-2.3241767228856336,0.024804496578690126,-2.1306713262344275
GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_DN,0.018098606199292697,2.5320235278890926,0.03238930993218987,-3.01640644223647,0.024804496578690126,-1.683506929231782
GSE13229_IMM_VS_INTMATURE_NKCELL_DN,0.018098606199292697,2.528137182219686,0.03238930993218987,-1.7702349621210063,0.024804496578690126,-2.349561415239603
GSE14415_INDUCED_TREG_VS_TCONV_DN,0.018098606199292697,2.525401275388506,0.03238930993218987,-3.229665129109486,0.07046877938007146,-1.3925394666065254
GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_UP,0.018098606199292697,2.46018976686698,0.8254820143656695,0.8849097221783235,0.024804496578690126,-2.9358862187067305
GSE14386_UNTREATED_VS_IFNA_TREATED_ACT_PBMC_MS_PATIENT_UP,0.018098606199292697,2.4451876541457924,0.2178018110810695,-1.2029182141139172,0.024804496578690126,-2.323241755405673
